Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,0.31,0.31,0.42202679184079656
75% Corpus,10,0.31,0.61,0.40997353578662593
75% Corpus,10,0.31,0.9099999999999999,0.39983445516885163
75% Corpus,10,0.31,symmetric,0.39493154074820686
75% Corpus,10,0.61,0.01,0.4595712038336055
75% Corpus,10,0.61,0.31,0.3882075404489194
75% Corpus,10,0.61,0.61,0.3510301059602512
75% Corpus,10,0.61,0.9099999999999999,0.44989196908306645
75% Corpus,10,0.61,symmetric,0.39862402883801107
75% Corpus,10,0.9099999999999999,0.01,0.4752797910609564
75% Corpus,10,0.9099999999999999,0.31,0.40062715244004005
75% Corpus,10,0.9099999999999999,0.61,0.3892227463807394
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.55945187008302
75% Corpus,10,0.9099999999999999,symmetric,0.4125210598922406
75% Corpus,10,symmetric,0.01,0.3904678498025068
75% Corpus,10,symmetric,0.31,0.3912408587358418
75% Corpus,10,symmetric,0.61,0.3622188995521016
75% Corpus,10,symmetric,0.9099999999999999,0.3521095687114272
75% Corpus,10,symmetric,symmetric,0.388371940383411
75% Corpus,10,asymmetric,0.01,0.34815918901126275
75% Corpus,10,asymmetric,0.31,0.410855643062446
75% Corpus,10,asymmetric,0.61,0.40873180509804835
75% Corpus,10,asymmetric,0.9099999999999999,0.40114196806032876
75% Corpus,10,asymmetric,symmetric,0.41173326743654926
100% Corpus,2,0.01,0.01,0.32687331322660135
100% Corpus,2,0.01,0.31,0.28869511477554
100% Corpus,2,0.01,0.61,0.25334366826125554
100% Corpus,2,0.01,0.9099999999999999,0.3113761402395253
100% Corpus,2,0.01,symmetric,0.25944092158246745
100% Corpus,2,0.31,0.01,0.32045017866664316
100% Corpus,2,0.31,0.31,0.36845609391322137
100% Corpus,2,0.31,0.61,0.29769466607474065
100% Corpus,2,0.31,0.9099999999999999,0.26521050851903083
100% Corpus,2,0.31,symmetric,0.2857415232662852
100% Corpus,2,0.61,0.01,0.31827732936260544
100% Corpus,2,0.61,0.31,0.3740296767573073
100% Corpus,2,0.61,0.61,0.2759481132466462
100% Corpus,2,0.61,0.9099999999999999,0.32797793885946774
100% Corpus,2,0.61,symmetric,0.2717277902399346
100% Corpus,2,0.9099999999999999,0.01,0.33645883421325257
100% Corpus,2,0.9099999999999999,0.31,0.24513025855068568
100% Corpus,2,0.9099999999999999,0.61,0.28019687590627124
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.28618868663355834
100% Corpus,2,0.9099999999999999,symmetric,0.26409083258227534
100% Corpus,2,symmetric,0.01,0.3443440000915473
100% Corpus,2,symmetric,0.31,0.37503596252396176
100% Corpus,2,symmetric,0.61,0.2731098647615742
100% Corpus,2,symmetric,0.9099999999999999,0.2972224461906696
100% Corpus,2,symmetric,symmetric,0.2748267661958018
100% Corpus,2,asymmetric,0.01,0.31022184088363225
100% Corpus,2,asymmetric,0.31,0.2906913004724049
100% Corpus,2,asymmetric,0.61,0.27329758458764586
100% Corpus,2,asymmetric,0.9099999999999999,0.29480869572580176
100% Corpus,2,asymmetric,symmetric,0.2958496179774365
100% Corpus,3,0.01,0.01,0.3176877982708952
100% Corpus,3,0.01,0.31,0.2793580282371277
100% Corpus,3,0.01,0.61,0.30100087646669477
100% Corpus,3,0.01,0.9099999999999999,0.31118563200827504
100% Corpus,3,0.01,symmetric,0.27665698641031916
100% Corpus,3,0.31,0.01,0.36086777190376607
100% Corpus,3,0.31,0.31,0.36848768917068564
100% Corpus,3,0.31,0.61,0.33734624427438664
100% Corpus,3,0.31,0.9099999999999999,0.3128156209676612
100% Corpus,3,0.31,symmetric,0.37703289193335826
100% Corpus,3,0.61,0.01,0.36034998166442495
100% Corpus,3,0.61,0.31,0.3033317529612694
100% Corpus,3,0.61,0.61,0.3158693139144171
100% Corpus,3,0.61,0.9099999999999999,0.3204876864793121
100% Corpus,3,0.61,symmetric,0.30898779407019394
100% Corpus,3,0.9099999999999999,0.01,0.3537446954252938
100% Corpus,3,0.9099999999999999,0.31,0.26364985464900886
100% Corpus,3,0.9099999999999999,0.61,0.30892916593346503
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.33492419548598273
100% Corpus,3,0.9099999999999999,symmetric,0.2789676357031717
100% Corpus,3,symmetric,0.01,0.3522962831393855
100% Corpus,3,symmetric,0.31,0.3817164061427289
100% Corpus,3,symmetric,0.61,0.36959865073857195
100% Corpus,3,symmetric,0.9099999999999999,0.3203606643404029
100% Corpus,3,symmetric,symmetric,0.3924233937534483
100% Corpus,3,asymmetric,0.01,0.347293518677287
100% Corpus,3,asymmetric,0.31,0.35965378253267427
100% Corpus,3,asymmetric,0.61,0.3948814025509999
100% Corpus,3,asymmetric,0.9099999999999999,0.40196554026380965
100% Corpus,3,asymmetric,symmetric,0.35381438259983317
100% Corpus,4,0.01,0.01,0.34336383632478656
100% Corpus,4,0.01,0.31,0.2978190209870264
100% Corpus,4,0.01,0.61,0.36882306589962943
100% Corpus,4,0.01,0.9099999999999999,0.45252036849949884
100% Corpus,4,0.01,symmetric,0.2800658408170311
100% Corpus,4,0.31,0.01,0.3432454421552399
100% Corpus,4,0.31,0.31,0.31174403342087265
100% Corpus,4,0.31,0.61,0.3296480759453329
100% Corpus,4,0.31,0.9099999999999999,0.4294204850488643
100% Corpus,4,0.31,symmetric,0.3441162008193876
100% Corpus,4,0.61,0.01,0.3683697349847132
100% Corpus,4,0.61,0.31,0.3817690703516323
100% Corpus,4,0.61,0.61,0.35989414642576045
100% Corpus,4,0.61,0.9099999999999999,0.37352342749240114
100% Corpus,4,0.61,symmetric,0.363969287541325
100% Corpus,4,0.9099999999999999,0.01,0.3474156756753714
100% Corpus,4,0.9099999999999999,0.31,0.30883087514465907
100% Corpus,4,0.9099999999999999,0.61,0.3492080783840553
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.40449120772514996
100% Corpus,4,0.9099999999999999,symmetric,0.31011136957539
100% Corpus,4,symmetric,0.01,0.31643883918802507
100% Corpus,4,symmetric,0.31,0.3466776158724618
100% Corpus,4,symmetric,0.61,0.3415423056067375
100% Corpus,4,symmetric,0.9099999999999999,0.384042974190406
100% Corpus,4,symmetric,symmetric,0.3545613382712602
100% Corpus,4,asymmetric,0.01,0.3179799236675638
100% Corpus,4,asymmetric,0.31,0.38977702982730855
100% Corpus,4,asymmetric,0.61,0.4724287224313117
100% Corpus,4,asymmetric,0.9099999999999999,0.4040166936572128
100% Corpus,4,asymmetric,symmetric,0.3532434726492525
100% Corpus,5,0.01,0.01,0.3129805618971158
100% Corpus,5,0.01,0.31,0.305319530428573
